pattern,metric,day,count,share,cum_share
60v_strong,days_to_plus5_60d,27,6,0.007125890736342043,0.7945368171021377
60v_strong,days_to_plus5_60d,28,15,0.017814726840855107,0.8123515439429928
60v_strong,days_to_plus5_60d,29,11,0.013064133016627079,0.8254156769596199
60v_strong,days_to_plus5_60d,30,8,0.009501187648456057,0.834916864608076
60v_strong,days_to_plus5_60d,31,10,0.011876484560570071,0.8467933491686461
60v_strong,days_to_plus5_60d,32,7,0.00831353919239905,0.8551068883610452
60v_strong,days_to_plus5_60d,33,1,0.0011876484560570072,0.8562945368171022
60v_strong,days_to_plus5_60d,34,6,0.007125890736342043,0.8634204275534443
60v_strong,days_to_plus5_60d,35,4,0.004750593824228029,0.8681710213776723
60v_strong,days_to_plus5_60d,36,5,0.0059382422802850355,0.8741092636579574
60v_strong,days_to_plus5_60d,37,3,0.0035629453681710215,0.8776722090261284
60v_strong,days_to_plus5_60d,38,5,0.0059382422802850355,0.8836104513064135
60v_strong,days_to_plus5_60d,39,9,0.010688836104513063,0.8942992874109266
60v_strong,days_to_plus5_60d,40,7,0.00831353919239905,0.9026128266033256
60v_strong,days_to_plus5_60d,41,8,0.009501187648456057,0.9121140142517817
60v_strong,days_to_plus5_60d,42,1,0.0011876484560570072,0.9133016627078387
60v_strong,days_to_plus5_60d,43,1,0.0011876484560570072,0.9144893111638958
60v_strong,days_to_plus5_60d,44,6,0.007125890736342043,0.9216152019002378
60v_strong,days_to_plus5_60d,45,5,0.0059382422802850355,0.9275534441805229
60v_strong,days_to_plus5_60d,46,5,0.0059382422802850355,0.9334916864608079
60v_strong,days_to_plus5_60d,47,4,0.004750593824228029,0.938242280285036
60v_strong,days_to_plus5_60d,48,2,0.0023752969121140144,0.94061757719715
60v_strong,days_to_plus5_60d,49,6,0.007125890736342043,0.9477434679334921
60v_strong,days_to_plus5_60d,50,5,0.0059382422802850355,0.9536817102137771
60v_strong,days_to_plus5_60d,51,5,0.0059382422802850355,0.9596199524940622
60v_strong,days_to_plus5_60d,52,7,0.00831353919239905,0.9679334916864613
60v_strong,days_to_plus5_60d,53,3,0.0035629453681710215,0.9714964370546323
60v_strong,days_to_plus5_60d,54,4,0.004750593824228029,0.9762470308788603
60v_strong,days_to_plus5_60d,55,3,0.0035629453681710215,0.9798099762470314
60v_strong,days_to_plus5_60d,56,1,0.0011876484560570072,0.9809976247030884
60v_strong,days_to_plus5_60d,57,2,0.0023752969121140144,0.9833729216152024
60v_strong,days_to_plus5_60d,58,3,0.0035629453681710215,0.9869358669833734
60v_strong,days_to_plus5_60d,59,3,0.0035629453681710215,0.9904988123515445
60v_strong,days_to_plus5_60d,60,8,0.009501187648456057,1.0000000000000004
